Source,Target,Weight,Type
2,13,1.099910e+00,directed
2,30,1.191407e+00,directed
2,34,9.967585e-01,directed
2,35,9.926141e-01,directed
2,48,1.094423e+00,directed
2,53,1.039339e+00,directed
2,54,1.095704e+00,directed
2,56,9.933493e-01,directed
2,63,1.139249e+00,directed
2,66,1.086193e+00,directed
3,8,1.018904e+00,directed
3,18,1.134584e+00,directed
3,30,1.334264e+00,directed
3,33,1.075635e+00,directed
3,35,9.926141e-01,directed
3,37,1.355979e+00,directed
3,39,9.930302e-01,directed
3,47,1.131724e+00,directed
3,48,1.064778e+00,directed
3,53,1.039339e+00,directed
3,54,1.095704e+00,directed
3,55,1.012138e+00,directed
3,56,1.136206e+00,directed
3,63,9.963922e-01,directed
3,66,1.086193e+00,directed
7,10,9.807293e-01,directed
7,45,1.001304e+00,directed
8,18,9.795890e-01,directed
8,51,1.140413e+00,directed
8,56,1.136206e+00,directed
8,66,1.032272e+00,directed
9,8,1.018904e+00,directed
9,10,9.807293e-01,directed
9,18,1.104938e+00,directed
9,30,9.946295e-01,directed
9,33,9.920692e-01,directed
9,36,1.121142e+00,directed
9,37,1.070265e+00,directed
9,38,1.005487e+00,directed
9,39,9.930302e-01,directed
9,46,1.081122e+00,directed
9,48,9.933493e-01,directed
9,52,9.855348e-01,directed
9,54,1.095704e+00,directed
9,55,1.012138e+00,directed
9,56,9.933493e-01,directed
9,63,9.963922e-01,directed
10,18,9.970970e-01,directed
11,18,1.051018e+00,directed
11,30,1.102471e+00,directed
11,56,9.933493e-01,directed
13,30,1.334264e+00,directed
13,35,9.926141e-01,directed
13,37,1.016344e+00,directed
13,54,1.095704e+00,directed
14,30,1.048550e+00,directed
14,47,1.131724e+00,directed
17,18,1.092801e+00,directed
17,49,1.025941e+00,directed
18,30,1.048550e+00,directed
18,35,1.004752e+00,directed
18,37,1.070265e+00,directed
21,10,9.807293e-01,directed
21,14,1.104117e+00,directed
21,18,1.104938e+00,directed
21,23,1.068985e+00,directed
21,30,9.946295e-01,directed
21,33,1.188847e+00,directed
21,37,1.213122e+00,directed
21,47,9.888664e-01,directed
21,50,1.089053e+00,directed
21,51,1.027202e+00,directed
21,56,1.279064e+00,directed
21,63,9.963922e-01,directed
22,30,9.946295e-01,directed
22,37,1.070265e+00,directed
23,8,1.048550e+00,directed
23,18,1.104938e+00,directed
23,30,1.078196e+00,directed
23,39,1.135887e+00,directed
23,47,9.888664e-01,directed
23,48,9.812118e-01,directed
23,53,1.039339e+00,directed
23,55,1.012138e+00,directed
23,56,9.933493e-01,directed
27,30,1.048550e+00,directed
27,56,9.933493e-01,directed
28,18,1.533510e+00,directed
28,30,1.221053e+00,directed
28,36,1.121142e+00,directed
28,54,1.095704e+00,directed
28,63,9.963922e-01,directed
31,18,9.795890e-01,directed
31,33,1.331704e+00,directed
35,37,1.070265e+00,directed
35,47,1.018512e+00,directed
35,48,1.064778e+00,directed
36,28,1.090357e+00,directed
36,48,1.035132e+00,directed
36,56,9.933493e-01,directed
37,3,1.036413e+00,directed
37,13,1.099910e+00,directed
37,18,1.104938e+00,directed
40,18,1.277441e+00,directed
40,30,1.137487e+00,directed
40,33,9.920692e-01,directed
40,56,9.933493e-01,directed
41,18,9.970970e-01,directed
41,56,1.136206e+00,directed
42,30,1.078196e+00,directed
44,54,1.095704e+00,directed
45,18,1.104938e+00,directed
45,30,1.221053e+00,directed
45,47,1.131724e+00,directed
45,49,1.025941e+00,directed
45,53,1.039339e+00,directed
45,54,1.095704e+00,directed
46,13,9.866987e-01,directed
46,18,1.247795e+00,directed
46,30,1.191407e+00,directed
46,33,1.058127e+00,directed
46,41,1.003864e+00,directed
46,45,1.084870e+00,directed
46,56,1.136206e+00,directed
47,10,1.123586e+00,directed
47,35,9.926141e-01,directed
47,36,1.026719e+00,directed
47,45,1.055224e+00,directed
48,18,1.080663e+00,directed
48,54,1.095704e+00,directed
48,55,1.012138e+00,directed
48,56,9.933493e-01,directed
48,63,9.963922e-01,directed
49,10,9.807293e-01,directed
50,10,9.807293e-01,directed
50,18,1.277441e+00,directed
50,30,1.191407e+00,directed
50,37,1.070265e+00,directed
50,55,1.041783e+00,directed
50,56,1.022995e+00,directed
50,63,9.963922e-01,directed
50,66,1.115838e+00,directed
51,8,1.018904e+00,directed
51,30,1.048550e+00,directed
51,37,1.070265e+00,directed
51,63,9.963922e-01,directed
52,18,9.795890e-01,directed
52,30,1.048550e+00,directed
