Source,Target,Weight,Type
2,13,1.099910e+00,directed
2,30,1.191407e+00,directed
2,48,1.094423e+00,directed
2,54,1.095704e+00,directed
2,63,1.139249e+00,directed
2,66,1.086193e+00,directed
3,18,1.134584e+00,directed
3,30,1.334264e+00,directed
3,33,1.075635e+00,directed
3,37,1.355979e+00,directed
3,47,1.131724e+00,directed
3,54,1.095704e+00,directed
3,56,1.136206e+00,directed
3,66,1.086193e+00,directed
8,51,1.140413e+00,directed
8,56,1.136206e+00,directed
9,18,1.104938e+00,directed
9,36,1.121142e+00,directed
9,37,1.070265e+00,directed
9,46,1.081122e+00,directed
9,54,1.095704e+00,directed
11,30,1.102471e+00,directed
13,30,1.334264e+00,directed
13,54,1.095704e+00,directed
14,47,1.131724e+00,directed
17,18,1.092801e+00,directed
18,37,1.070265e+00,directed
21,14,1.104117e+00,directed
21,18,1.104938e+00,directed
21,33,1.188847e+00,directed
21,37,1.213122e+00,directed
21,50,1.089053e+00,directed
21,56,1.279064e+00,directed
22,37,1.070265e+00,directed
23,18,1.104938e+00,directed
23,30,1.078196e+00,directed
23,39,1.135887e+00,directed
28,18,1.533510e+00,directed
28,30,1.221053e+00,directed
28,36,1.121142e+00,directed
28,54,1.095704e+00,directed
31,33,1.331704e+00,directed
35,37,1.070265e+00,directed
36,28,1.090357e+00,directed
37,13,1.099910e+00,directed
37,18,1.104938e+00,directed
40,18,1.277441e+00,directed
40,30,1.137487e+00,directed
41,56,1.136206e+00,directed
42,30,1.078196e+00,directed
44,54,1.095704e+00,directed
45,18,1.104938e+00,directed
45,30,1.221053e+00,directed
45,47,1.131724e+00,directed
45,54,1.095704e+00,directed
46,18,1.247795e+00,directed
46,30,1.191407e+00,directed
46,45,1.084870e+00,directed
46,56,1.136206e+00,directed
47,10,1.123586e+00,directed
48,18,1.080663e+00,directed
48,54,1.095704e+00,directed
50,18,1.277441e+00,directed
50,30,1.191407e+00,directed
50,37,1.070265e+00,directed
50,66,1.115838e+00,directed
51,37,1.070265e+00,directed
53,18,1.164229e+00,directed
53,37,1.099910e+00,directed
54,13,1.099910e+00,directed
54,18,1.247795e+00,directed
54,28,1.090357e+00,directed
54,30,1.191407e+00,directed
54,33,1.075635e+00,directed
54,37,1.070265e+00,directed
54,45,1.198081e+00,directed
54,47,1.274581e+00,directed
54,48,1.177990e+00,directed
55,30,1.221053e+00,directed
55,34,1.122108e+00,directed
55,51,1.140413e+00,directed
55,56,1.136206e+00,directed
56,18,1.134584e+00,directed
56,30,1.191407e+00,directed
56,62,1.071931e+00,directed
56,66,1.086193e+00,directed
60,8,1.161762e+00,directed
60,37,1.070265e+00,directed
60,56,1.279064e+00,directed
62,56,1.136206e+00,directed
62,66,1.086193e+00,directed
63,30,1.191407e+00,directed
63,47,1.131724e+00,directed
63,56,1.136206e+00,directed
66,33,1.124069e+00,directed
66,35,1.076180e+00,directed
