Source,Target,Weight,Type
2,27,1.054721e+00,directed
2,30,1.027800e+00,directed
2,32,9.747204e-01,directed
2,37,9.933643e-01,directed
2,52,1.232492e+00,directed
2,66,1.003606e+00,directed
3,20,9.658256e-01,directed
3,63,9.604248e-01,directed
4,30,9.611330e-01,directed
5,13,9.431871e-01,directed
5,26,1.171245e+00,directed
5,27,9.993822e-01,directed
5,47,9.411858e-01,directed
8,20,9.482900e-01,directed
11,23,1.019627e+00,directed
11,26,1.037911e+00,directed
11,30,1.078126e+00,directed
11,32,9.961823e-01,directed
11,36,1.124845e+00,directed
12,17,1.048445e+00,directed
12,23,1.074966e+00,directed
12,26,9.599162e-01,directed
12,30,1.133464e+00,directed
12,31,1.081961e+00,directed
12,36,1.069507e+00,directed
12,47,9.915117e-01,directed
12,55,1.064426e+00,directed
12,63,9.880940e-01,directed
12,66,1.109271e+00,directed
13,20,9.482900e-01,directed
13,26,9.599162e-01,directed
13,52,1.138156e+00,directed
14,26,1.015255e+00,directed
15,27,9.490564e-01,directed
17,11,1.033985e+00,directed
17,21,9.572468e-01,directed
17,46,9.435754e-01,directed
17,53,9.937927e-01,directed
20,30,1.305795e+00,directed
20,52,1.021164e+00,directed
21,30,9.447922e-01,directed
21,47,1.085847e+00,directed
23,27,9.767256e-01,directed
23,47,9.525142e-01,directed
24,63,9.604248e-01,directed
26,11,9.509775e-01,directed
26,30,1.027800e+00,directed
26,31,1.031635e+00,directed
26,35,1.042924e+00,directed
26,38,1.046530e+00,directed
26,46,9.435754e-01,directed
26,52,1.138156e+00,directed
26,55,1.092095e+00,directed
27,5,9.603667e-01,directed
27,17,9.654373e-01,directed
27,23,1.024640e+00,directed
27,30,1.372461e+00,directed
27,31,1.081961e+00,directed
27,32,9.961823e-01,directed
27,35,1.187585e+00,directed
27,36,1.202840e+00,directed
27,37,9.656951e-01,directed
27,46,9.435754e-01,directed
27,52,1.032492e+00,directed
27,54,1.033985e+00,directed
30,11,1.084311e+00,directed
30,20,1.026285e+00,directed
30,36,9.638425e-01,directed
30,53,9.937927e-01,directed
31,20,9.872875e-01,directed
31,54,1.061654e+00,directed
32,49,1.061341e+00,directed
32,52,9.544973e-01,directed
36,11,1.139649e+00,directed
36,15,9.874488e-01,directed
36,20,1.198616e+00,directed
36,27,1.132716e+00,directed
