Source,Target,Weight,Type
2,52,1.232492e+00,directed
5,26,1.171245e+00,directed
11,30,1.078126e+00,directed
11,36,1.124845e+00,directed
12,23,1.074966e+00,directed
12,30,1.133464e+00,directed
12,31,1.081961e+00,directed
12,36,1.069507e+00,directed
12,55,1.064426e+00,directed
12,66,1.109271e+00,directed
13,52,1.138156e+00,directed
20,30,1.305795e+00,directed
21,47,1.085847e+00,directed
26,52,1.138156e+00,directed
26,55,1.092095e+00,directed
27,30,1.372461e+00,directed
27,31,1.081961e+00,directed
27,35,1.187585e+00,directed
27,36,1.202840e+00,directed
30,11,1.084311e+00,directed
31,54,1.061654e+00,directed
36,11,1.139649e+00,directed
36,20,1.198616e+00,directed
36,27,1.132716e+00,directed
36,30,1.105795e+00,directed
36,52,1.138156e+00,directed
36,54,1.167318e+00,directed
38,32,1.079190e+00,directed
46,11,1.217644e+00,directed
46,17,1.098771e+00,directed
46,20,1.226285e+00,directed
46,21,1.196244e+00,directed
46,27,1.132716e+00,directed
46,32,1.062849e+00,directed
46,36,1.069507e+00,directed
46,47,1.124845e+00,directed
46,52,1.271490e+00,directed
46,61,1.061654e+00,directed
46,63,1.199422e+00,directed
46,66,1.109271e+00,directed
47,20,1.092952e+00,directed
50,30,1.066797e+00,directed
50,52,1.087831e+00,directed
51,30,1.066797e+00,directed
52,13,1.076520e+00,directed
52,20,1.081623e+00,directed
53,11,1.217644e+00,directed
53,17,1.098771e+00,directed
53,20,1.198616e+00,directed
53,30,1.344792e+00,directed
53,36,1.069507e+00,directed
53,38,1.179863e+00,directed
53,47,1.124845e+00,directed
53,52,1.271490e+00,directed
53,55,1.064426e+00,directed
53,63,1.066089e+00,directed
54,11,1.084311e+00,directed
54,26,1.171245e+00,directed
54,27,1.132716e+00,directed
54,31,1.215295e+00,directed
54,36,1.202840e+00,directed
54,52,1.138156e+00,directed
54,55,1.064426e+00,directed
55,26,1.065580e+00,directed
60,5,1.093700e+00,directed
60,11,1.084311e+00,directed
60,20,1.465283e+00,directed
60,21,1.062911e+00,directed
60,30,1.211459e+00,directed
60,52,1.138156e+00,directed
60,63,1.199422e+00,directed
61,9,1.097964e+00,directed
61,11,1.217644e+00,directed
61,17,1.098771e+00,directed
61,20,1.198616e+00,directed
61,23,1.180630e+00,directed
61,26,1.065580e+00,directed
61,30,1.078126e+00,directed
61,31,1.109630e+00,directed
61,36,1.202840e+00,directed
61,52,1.138156e+00,directed
61,55,1.197759e+00,directed
61,63,1.093758e+00,directed
62,52,1.071490e+00,directed
63,13,1.154515e+00,directed
63,20,1.120621e+00,directed
66,20,1.131949e+00,directed
