Id,Label,Entropy,OTE
2,2,3.470628,10.728947
3,3,2.290925,16.467484
7,7,2.219669,1.982033
8,8,2.946244,4.288481
9,9,3.640561,16.438783
10,10,3.191064,0.997097
11,11,2.726721,3.146837
13,13,3.418058,4.438926
14,14,2.846055,2.180274
17,17,2.605279,2.118741
18,18,3.441973,3.123566
21,21,3.466551,13.035944
22,22,3.069099,2.064894
23,23,3.306118,9.382475
27,27,3.306250,2.041899
28,28,3.566837,5.967800
30,30,3.495276,0.000000
31,31,3.408601,2.311293
33,33,3.308311,0.000000
34,34,1.562121,0.000000
35,35,2.956876,3.153555
36,36,3.149675,3.118838
37,37,3.725673,3.241261
38,38,2.771766,0.000000
39,39,3.081751,0.000000
40,40,3.219530,4.400346
41,41,3.041175,2.133303
42,42,3.045593,1.078196
44,44,3.198735,1.095704
45,45,3.293852,6.618698
46,46,3.451150,7.708968
47,47,3.380398,4.198144
48,48,3.114465,5.178246
49,49,2.532530,0.980729
50,50,3.329315,8.696850
51,51,3.355228,4.134111
52,52,3.561656,2.028139
53,53,3.654406,5.261952
54,54,3.809242,18.476955
55,55,3.716923,9.711739
56,56,3.703477,9.531617
57,57,1.184788,0.993349
60,60,3.567606,8.648074
62,62,3.670916,7.291769
63,63,3.356369,8.513514
65,65,3.467027,4.070980
66,66,3.201445,5.207977
