Id,Label,Entropy,OTE
2,2,3.470628,6.706887
3,3,2.290925,9.350289
8,8,2.946244,2.276620
9,9,3.640561,5.473171
10,10,3.191064,0.000000
11,11,2.726721,1.102471
13,13,3.418058,2.429968
14,14,2.846055,1.131724
17,17,2.605279,1.092801
18,18,3.441973,1.070265
21,21,3.466551,6.979140
22,22,3.069099,1.070265
23,23,3.306118,3.319021
28,28,3.566837,4.971408
30,30,3.495276,0.000000
31,31,3.408601,1.331704
33,33,3.308311,0.000000
34,34,1.562121,0.000000
35,35,2.956876,1.070265
36,36,3.149675,1.090357
37,37,3.725673,2.204848
39,39,3.081751,0.000000
40,40,3.219530,2.414927
41,41,3.041175,1.136206
42,42,3.045593,1.078196
44,44,3.198735,1.095704
45,45,3.293852,4.553418
46,46,3.451150,4.660279
47,47,3.380398,1.123586
48,48,3.114465,2.176367
50,50,3.329315,4.654951
51,51,3.355228,1.070265
53,53,3.654406,2.264139
54,54,3.809242,10.426021
55,55,3.716923,4.619780
56,56,3.703477,4.484114
60,60,3.567606,3.511090
62,62,3.670916,2.222399
63,63,3.356369,3.459337
66,66,3.201445,2.200249
