Id,Label,Entropy,OTE
2,2,3.058782,20.275217
3,3,2.853157,18.209196
4,4,3.144661,8.992995
5,5,3.443537,16.149252
8,8,2.727809,10.331725
9,9,3.109660,6.114652
10,10,2.398427,0.000000
11,11,3.291393,22.662357
12,12,3.304913,23.049918
13,13,3.334776,14.633490
14,14,2.414519,2.520341
15,15,2.709617,4.026136
17,17,2.891287,16.866456
18,18,2.349693,2.119215
20,20,3.411908,16.473071
21,21,3.114249,9.046579
22,22,2.548173,0.000000
23,23,3.364035,12.398363
24,24,1.787527,1.634944
26,26,3.335171,24.762502
27,27,3.730971,26.258032
28,28,3.216227,0.727126
29,29,2.494870,0.000000
30,30,3.630867,16.267193
31,31,3.327137,15.079438
32,32,3.142069,16.809872
33,33,3.143202,9.994057
35,35,2.872272,6.093190
36,36,3.691753,26.849374
37,37,3.265563,9.353951
38,38,3.367814,24.912136
40,40,3.158965,8.482805
42,42,3.092498,8.751771
43,43,2.919673,4.501679
44,44,3.038584,3.883042
45,45,2.562018,0.000000
46,46,3.407144,33.821527
47,47,3.257246,18.567103
48,48,2.420668,0.000000
49,49,2.081719,2.148646
50,50,3.144294,20.155336
51,51,3.141677,9.978128
52,52,3.803037,19.247720
53,53,3.586251,31.977602
54,54,3.690478,32.241875
55,55,3.525151,13.423103
56,56,3.624810,7.942920
57,57,1.945531,3.610161
59,59,1.437517,0.694336
60,60,3.336704,32.045657
61,61,3.427053,31.922579
62,62,3.118711,14.529483
63,63,3.085562,18.230512
64,64,2.573450,3.148907
65,65,3.029815,5.884834
66,66,3.277904,15.648726
