Id,Label,Entropy,OTE
2,2,3.058782,6.286704
3,3,2.853157,1.926250
4,4,3.144661,0.961133
5,5,3.443537,4.055000
8,8,2.727809,0.948290
9,9,3.109660,0.000000
11,11,3.291393,5.256691
12,12,3.304913,10.521560
13,13,3.334776,3.046363
14,14,2.414519,1.015255
15,15,2.709617,0.949056
17,17,2.891287,3.928600
20,20,3.411908,2.326959
21,21,3.114249,2.030640
23,23,3.364035,1.929240
24,24,1.787527,0.960425
26,26,3.335171,8.273693
27,27,3.730971,12.767222
30,30,3.630867,4.068231
31,31,3.327137,2.048942
32,32,3.142069,2.015838
35,35,2.872272,0.000000
36,36,3.691753,9.822870
37,37,3.265563,0.983081
38,38,3.367814,8.853392
40,40,3.158965,0.975959
44,44,3.038584,0.975959
46,46,3.407144,21.892621
47,47,3.257246,8.233405
49,49,2.081719,0.000000
50,50,3.144294,5.080776
51,51,3.141677,1.066797
52,52,3.803037,4.094655
53,53,3.586251,22.436671
54,54,3.690478,16.892466
55,55,3.525151,2.006446
60,60,3.336704,16.206271
61,61,3.427053,19.512765
62,62,3.118711,2.105475
63,63,3.085562,5.109382
64,64,2.573450,0.000000
66,66,3.277904,3.062812
