"","V1"
"1",1.1757112497251
"2",3.47062800743938
"3",2.29092545645844
"4",2.31000028926219
"5",2.40616153259609
"6",0.443074386903376
"7",2.2196688389019
"8",2.94624381818592
"9",3.64056101016935
"10",3.1910644856866
"11",2.72672057322997
"12",3.01724031885445
"13",3.41805823915373
"14",2.84605453816737
"15",2.57743687181234
"16",1.70336100700125
"17",2.60527877466874
"18",3.44197258172378
"19",0.655624969820989
"20",2.91439657326981
"21",3.46655061247012
"22",3.0690993814427
"23",3.30611822793852
"24",1.21835479955924
"25",2.28366894578848
"26",2.12775829106063
"27",3.30625022582821
"28",3.5668373967922
"29",2.38401145571836
"30",3.49527611205624
"31",3.40860094660306
"32",2.04457505990323
"33",3.3083105016299
"34",1.56212135003724
"35",2.95687593532708
"36",3.14967543923433
"37",3.72567343643665
"38",2.77176614674658
"39",3.08175099977454
"40",3.21953030092097
"41",3.04117528675365
"42",3.04559254900159
"43",3.02105218735269
"44",3.19873467945004
"45",3.29385152369815
"46",3.4511501165574
"47",3.38039814649829
"48",3.11446512212045
"49",2.53253020260843
"50",3.32931452388798
"51",3.35522801871859
"52",3.56165648110917
"53",3.65440579165037
"54",3.80924190692493
"55",3.7169229499502
"56",3.70347721053381
"57",1.18478791308377
"58",1.50200470090509
"59",1.45914791702725
"60",3.56760607607454
"61",3.08455255662128
"62",3.67091601953316
"63",3.35636937456275
"64",2.78045830645156
"65",3.46702699611573
"66",3.20144531416828
