"","V1"
"1",0.970950594454669
"2",3.05878227704637
"3",2.85315652335242
"4",3.14466149198721
"5",3.44353712028408
"6",0.424268152324151
"7",0.857456592272512
"8",2.72780911443743
"9",3.10966043766882
"10",2.39842682513466
"11",3.29139287617096
"12",3.30491314207224
"13",3.33477628072117
"14",2.41451890012903
"15",2.70961659652632
"16",1.76242228378753
"17",2.89128722780434
"18",2.34969344860816
"19",3.41190834412212
"20",3.11424879121597
"21",2.5481728443859
"22",3.36403496621527
"23",1.78752666984707
"24",1.91377629157514
"25",3.33517121501802
"26",3.73097135960052
"27",3.21622703525464
"28",2.49487048276595
"29",3.63086748695969
"30",3.32713661846699
"31",3.14206901799243
"32",3.14320200800079
"33",1.78864407016422
"34",2.87227163351619
"35",3.69175347233788
"36",3.26556259259033
"37",3.36781412325859
"38",1.49784527035149
"39",3.15896497553954
"40",0.919154826695088
"41",3.09249827518411
"42",2.91967303708945
"43",3.0385836165324
"44",2.5620184446274
"45",3.40714398350844
"46",3.25724597858698
"47",2.42066786597094
"48",2.08171903522317
"49",3.14429393829949
"50",3.14167715398095
"51",3.8030370700607
"52",3.58625092792176
"53",3.69047831824374
"54",3.52515100086122
"55",3.62481001210696
"56",1.94553055603633
"57",0.704312422992621
"58",1.43751722271686
"59",3.33670438727003
"60",3.4270525993428
"61",3.11871132283507
"62",3.08556162568661
"63",2.57344950250454
"64",3.02981507526864
"65",3.27790391506749
